ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_heat_impact_wlb,heat_imp_1,heat_imp_2,heat_imp_3,heat_imp_4,heat_imp_5,ext_heat_cope,ext_heat_likely_repeat,ext_heat_affect,ext_heat_lkly_normal_business,ext_heat_lkly_stay_home,ext_heat_lkly_seek_shelter,ext_heat_lkly_social_connection,ext_heat_lkly_leave_town,ext_heat_lkly_supplies,ext_heat_lkly_follow_officials,ext_heat_lkly_comm_supports,ext_heat_indoor_restaurant,ext_heat_takeout_pickup,ext_heat_food_delivery,ext_heat_public_indoors,ext_heat_wfh,ext_heat_commute,ext_heat_car_travel,ext_heat_public_transit,ext_heat_stay_home,ext_heat_stay_family_friends,ext_heat_check_family_friends,ext_heat_volunteer_community,ext_heat_ac_equipped,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
1016,39,2,0.461104918,0,16510,0,1,0,3,0,0,1,0,0,2,5,3,5,5,1,1,1,3,5,1,2,2,2,3,2,2,2,2,2,4,3,4,1,1.283706444,-0.365564105,1.077534827,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,0,3,0,0,0,1,0,1,1,1,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,0,1,0,3
1017,1,1,1.679072662,0,36870,0,1,0,3,0,0,1,0,0,2,3,5,3,4,4,5,1,4,4,3,2,2,2,3,2,3,3,3,2,2,2,1,1,-0.232175026,0.718103637,0.460953979,1,0,1,0,3,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1022,5,2,0.00596632,0,95404,1,0,0,2,0,1,0,0,0,3,4,4,4,4,4,4,4,3,4,2,1,1,1,1,1,1,1,1,3,1,1,1,1,0.171707213,0.899933959,0.588666072,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,0,0,1,0,3
1023,5,2,0.327563225,0,90017,1,0,0,1,1,0,0,0,0,2,5,3,5,3,1,1,1,1,1,1,2,2,2,4,2,2,2,2,2,4,4,4,1,-1.361935363,-0.067415712,1.151663573,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1025,29,4,3.23E-05,0,89701,0,1,0,1,1,0,0,0,0,2,4,1,5,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,3,3,3,1,-0.090737013,-0.55039777,0.919549357,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,0,2
1028,39,4,1.982650153,0,15120,1,0,0,1,1,0,0,0,0,3,5,3,4,5,5,5,5,4,5,5,3,2,2,3,2,2,2,3,3,2,2,4,1,0.436381491,-1.164875867,-0.687405826,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,4
1029,46,4,8.40E-05,0,84088,0,1,0,5,0,0,0,0,1,4,5,5,1,5,3,4,1,5,5,4,1,1,3,1,2,2,1,2,3,3,2,2,1,0.589318409,1.419674472,0.127813904,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,0,0,0,1,4
1030,45,4,4.28473235,1,77505,0,1,0,4,0,0,0,1,0,3,4,4,4,4,1,1,1,1,4,1,2,1,1,4,2,2,2,2,2,4,2,4,1,0.427274728,-0.137876904,0.787080829,1,0,0,1,4,0,0,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,0,2
1034,49,4,0.027778406,0,98026,0,1,0,2,0,1,0,0,0,2,5,4,5,5,2,2,2,3,5,2,2,2,2,2,2,2,3,1,3,4,2,4,0,0.952006515,0.620700465,0.708712163,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1037,49,4,0.062362714,0,98275,0,1,0,3,0,0,1,0,0,3,5,5,1,4,3,3,4,2,4,1,3,3,2,2,2,2,2,2,2,3,3,1,0,0.441286799,0.362106914,-0.316130727,1,0,0,1,4,1,1,1,0,0,2,0,4,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,0,3
1040,49,2,0.013296319,0,98375,0,1,0,4,0,0,0,1,0,3,5,5,3,3,1,1,1,4,4,2,1,1,1,1,3,1,1,3,3,1,3,1,1,-2.012601179,0.004688332,-0.150620629,0,1,0,0,2,0,1,1,0,0,2,0,4,0,1,2,0,0,3,0,0,0,1,1,0,1,1,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,2
1046,49,4,0.036667177,0,98105,1,0,0,3,0,0,1,0,0,2,5,4,4,5,3,3,3,4,5,4,2,2,2,1,2,2,1,1,3,3,3,3,1,1.265556692,-0.301523947,0.110151689,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1050,49,4,0.02509942,0,98208,0,1,0,1,1,0,0,0,0,1,5,0,5,3,1,1,1,3,3,3,2,2,2,3,2,2,2,2,2,3,3,3,1,-1.121074855,-1.541345457,0.457050386,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1054,49,4,0.013653833,0,98023,0,1,0,1,1,0,0,0,0,2,5,0,5,2,1,1,1,3,4,3,3,3,3,1,3,1,1,1,3,1,2,1,0,0.351984335,-0.706229476,-0.703348563,1,1,0,0,2,0,0,0,1,0,2,0,2,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1057,49,4,0.039469085,0,98466,0,1,0,5,0,0,0,0,1,3,4,4,1,5,1,3,1,5,5,3,2,2,3,4,2,2,1,2,3,3,2,4,0,1.519318963,-0.742995789,-2.127537884,0,0,1,0,3,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,4
1059,49,4,0.079167911,0,98008,1,0,0,3,0,0,1,0,0,2,5,4,4,4,1,1,1,3,4,1,2,2,2,4,2,2,2,2,3,4,3,4,0,-0.56883416,-0.122061678,0.346902458,0,0,0,1,4,1,1,1,0,0,2,0,4,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,1,4
1061,49,4,0.04457819,0,98388,0,1,0,2,0,1,0,0,0,2,3,1,5,4,1,1,1,1,1,1,3,2,2,4,2,2,2,2,2,1,1,1,1,-0.922872334,-0.51723911,1.189459824,0,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,0,2
1062,3,4,0.010219066,1,85304,1,0,0,3,0,0,1,0,0,3,5,5,4,5,3,4,2,2,4,5,2,2,2,4,2,2,2,2,3,3,2,3,1,0.435276982,-0.729937797,-0.222071517,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,1,0,1,1,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,4
1065,3,4,0.038756086,1,85375,0,1,0,2,0,1,0,0,0,1,5,3,5,4,2,2,2,2,5,2,2,2,2,3,2,2,2,2,3,4,3,4,1,-0.013149079,-0.488311134,0.210804594,0,0,0,1,4,1,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1067,3,4,0.020579455,1,85008,1,0,0,1,1,0,0,0,0,1,5,1,5,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,3,3,3,1,-0.296406392,-0.405564848,0.149771279,1,0,0,1,4,1,1,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,0,0,1,0,3
1069,3,4,0.00661265,1,85205,0,1,0,3,0,0,1,0,0,2,5,3,5,5,1,1,1,4,5,3,2,2,2,4,2,2,2,2,2,3,3,4,1,0.378169214,-0.571636432,0.558414149,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,0,1,0,3
1073,49,4,0.018986714,0,98042,0,1,0,5,0,0,0,0,1,4,5,5,3,5,1,3,1,3,1,1,2,2,2,4,2,2,1,2,1,2,2,4,0,-0.235695063,-0.588946703,-1.636485748,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1074,3,4,0.062425983,1,85326,0,1,0,3,0,0,1,0,0,1,5,3,4,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,1,0.452107289,0.688880205,-0.065808448,1,1,0,0,2,0,0,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1075,3,4,0.08589955,1,85351,0,1,0,5,0,0,0,0,1,3,5,5,4,4,1,1,5,2,3,1,2,1,1,1,2,1,3,1,2,1,3,4,1,-1.509709483,-0.929614079,1.332184621,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,0,2
1076,3,4,0.00105438,1,85021,1,0,0,5,0,0,0,0,1,5,5,5,1,5,4,5,4,5,5,4,2,2,2,1,3,1,2,2,2,2,2,3,1,0.964289106,0.082751826,0.738250695,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,0,0,1,3,0,0,0,1,4
1077,3,4,0.007579327,0,85142,0,1,0,2,0,1,0,0,0,2,5,3,3,4,1,4,1,4,5,4,2,1,2,1,3,1,1,1,3,2,2,2,1,0.062998061,0.08741072,1.179900645,1,0,1,0,3,0,0,1,0,0,2,0,4,0,0,0,0,0,3,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,0,1
1078,3,2,0.013087255,1,85254,0,1,0,5,0,0,0,0,1,1,5,5,5,5,1,1,3,1,1,1,2,2,2,2,2,2,2,2,3,1,3,3,1,0.674759571,1.56339791,1.015872611,1,1,0,0,2,1,1,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,1,1,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1079,3,4,0.010724002,1,85209,0,1,0,1,1,0,0,0,0,1,5,0,5,4,1,1,1,1,4,4,2,2,2,4,2,2,2,2,2,4,3,4,1,0.884614459,0.85685511,0.485569515,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
1082,3,4,0.014513458,1,85206,0,1,0,5,0,0,0,0,1,3,5,5,3,5,1,1,1,5,5,3,2,2,2,4,2,2,2,2,3,4,2,2,1,0.485024252,-0.581317703,-1.181689441,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1083,3,4,0.036163248,1,85001,1,0,0,2,0,1,0,0,0,1,4,1,4,3,3,3,2,2,3,3,2,1,2,3,2,2,2,2,2,3,2,3,1,0.638006807,-0.190643539,0.773372438,0,0,0,1,4,0,0,1,0,0,2,0,4,0,0,3,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,3,4,0.014642507,1,85208,0,1,0,4,0,0,0,1,0,1,5,5,4,5,1,5,1,5,5,1,1,1,1,3,2,2,2,2,2,3,3,4,1,-1.422315573,-1.112839133,2.349336059,1,0,0,1,4,0,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,0,2
1085,3,2,0.173351591,1,85308,0,1,0,2,0,1,0,0,0,2,5,1,5,5,2,4,4,5,5,5,2,1,2,2,2,2,1,1,2,3,2,2,1,0.827540109,-0.47749538,0.647929134,0,0,0,1,4,1,1,1,0,0,1,1,1,0,0,3,0,0,3,1,0,0,1,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1086,3,2,0.084021678,1,85374,0,1,0,3,0,0,1,0,0,1,5,5,5,5,1,1,1,1,5,1,2,2,2,3,2,2,2,2,2,3,3,3,1,-0.663273403,-0.202086102,1.291054223,1,0,1,0,3,0,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,0,1
1087,3,4,0.027061615,1,85029,1,0,0,3,0,0,1,0,0,2,5,3,2,5,1,1,1,1,4,1,1,1,1,1,2,2,1,2,2,1,3,4,1,0.448478497,-1.163990477,0.042397735,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1089,3,4,0.061334699,1,85284,0,1,0,2,0,1,0,0,0,2,5,3,3,5,1,1,5,3,5,1,1,1,2,1,2,2,1,2,3,1,2,1,1,0.650592004,-1.03118249,0.262832271,1,0,0,1,4,1,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1090,3,4,0.003595946,1,85015,1,0,0,3,0,0,1,0,0,2,3,2,4,5,4,3,2,4,4,3,1,2,2,4,3,3,2,2,3,4,3,4,1,-0.26386174,-0.12016107,-0.56524685,1,1,0,0,2,0,1,1,0,0,2,0,4,1,0,1,0,0,3,0,1,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,0,0,1,3,0,0,0,1,4
1091,3,2,0.00721292,1,85202,1,0,0,4,0,0,0,1,0,4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,3,3,1,-1.966766187,-1.587993425,-0.195569914,0,1,0,0,2,1,1,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,0,1,1,1,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1093,3,4,0.004603127,1,85375,0,1,0,2,0,1,0,0,0,2,5,1,5,4,2,2,1,4,5,3,2,1,3,1,2,1,1,1,3,1,2,1,1,0.702150334,0.072246536,0.844346269,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,0,3,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1094,3,4,0.002651363,1,85282,1,0,0,3,0,0,1,0,0,3,5,3,3,4,3,1,1,3,3,4,2,2,2,4,2,2,2,2,3,4,2,4,1,-0.819945314,0.144488215,-1.763412303,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1096,3,4,0.283835784,1,85213,0,1,0,5,0,0,0,0,1,2,5,5,4,5,1,2,2,2,5,3,2,2,2,4,2,2,2,2,3,4,2,3,1,0.355799415,0.677157152,0.972363241,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,0,1,0,3
1097,3,2,0.036987345,1,85338,0,1,0,2,0,1,0,0,0,2,4,3,4,4,1,2,4,4,4,3,2,1,1,1,2,2,2,1,3,1,2,3,1,0.686157288,-1.240982979,-0.096920113,1,0,1,0,3,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,0,2
1098,3,2,0.004491707,1,85225,1,0,0,4,0,0,0,1,0,4,5,5,1,5,1,5,5,5,5,1,1,1,3,1,3,1,1,1,3,1,2,1,1,1.548928509,-1.276821001,-0.763128117,1,1,0,0,2,1,1,1,0,0,2,0,4,1,0,1,0,0,3,0,1,0,0,1,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1099,3,2,0.013378893,1,85345,0,1,0,3,0,0,1,0,0,3,5,4,4,5,1,1,4,4,5,4,1,1,3,3,3,1,1,2,3,4,2,2,1,-0.080898174,-0.878226057,0.367999278,1,1,0,0,2,1,1,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
1100,3,4,0.027061615,1,85037,0,1,0,1,1,0,0,0,0,1,5,2,5,5,1,1,1,3,4,1,1,1,1,1,2,2,1,2,3,1,1,1,1,-0.054802991,-1.621110682,1.242191357,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,1,1,0,0,1,3,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,0,0,1,0,3
1101,3,4,0.008891702,1,85053,1,0,0,1,1,0,0,0,0,2,5,2,4,5,1,1,1,4,5,3,2,2,2,4,2,2,2,2,2,4,3,4,1,1.020967111,-0.091103362,0.535857346,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1104,3,2,0.102249691,1,85351,0,1,0,2,0,1,0,0,0,2,5,4,1,5,2,2,5,4,4,3,1,1,3,1,3,1,3,1,3,1,2,1,1,0.252025699,-1.105269658,0.382997405,1,0,1,0,3,0,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,1,1,0,1,1,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,0,2
1107,3,2,0.009834738,1,85233,0,1,0,1,1,0,0,0,0,1,5,5,5,5,1,4,2,4,5,3,2,2,2,4,2,2,2,2,2,3,3,4,1,-0.882058695,-1.568696044,-1.380737833,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1108,3,4,0.027962505,1,85382,0,1,0,4,0,0,0,1,0,2,5,4,3,4,2,2,2,2,5,2,2,2,2,3,2,2,2,2,2,3,3,3,1,0.40421187,-0.039236921,0.508669371,1,0,1,0,3,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,0,2
1109,3,2,0.022299858,1,85201,1,0,0,4,0,0,0,1,0,3,5,5,3,4,1,1,1,3,4,3,2,2,3,2,2,2,3,2,3,4,3,2,1,-0.425833547,0.076939737,0.156100563,1,0,1,0,3,1,1,1,0,0,1,1,1,1,0,1,0,0,3,1,0,0,1,0,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,0,0,0,1,4
1110,3,2,0.021258501,1,85206,0,1,0,5,0,0,0,0,1,2,5,5,4,5,1,5,1,5,5,4,1,3,3,2,1,2,1,1,1,2,2,2,1,0.690454953,0.847980961,0.981484882,0,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,1,1,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
