ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_powerout_impact_wlb,powerout_imp_1,powerout_imp_2,powerout_imp_3,powerout_imp_4,powerout_imp_5,ext_powerout_cope,ext_powerout_likely_repeat,ext_powerout_affect,ext_powerout_lkly_normal_business,ext_powerout_lkly_stay_home,ext_powerout_lkly_seek_shelter,ext_powerout_lkly_social_connection,ext_powerout_lkly_leave_town,ext_powerout_lkly_supplies,ext_powerout_lkly_follow_officials,ext_powerout_lkly_comm_supports,ext_powerout_eating_restaurant,ext_powerout_indoor_restaurant,ext_powerout_food_delivery,ext_powerout_takeout_pickup,ext_powerout_car_travel,ext_powerout_walk_bike_mode,ext_powerout_transit_use,ext_powerout_stay_home,ext_powerout_stay_family_friends,ext_powerout_check_family_friends,ext_powerout_volunteer_community,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
1031,18,4,0.1682515,0,40215,0,1,0,1,1,0,0,0,0,1,5,5,3,5,1,1,1,5,5,5,1,1,1,1,3,1,3,2,1,3,2,1.387478301,-0.57668298,0.76078856,1,0,0,1,4,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,1,-9,0,0,0,1,3,1,0,0,1,0,0,1,3,1,0,0,1,1,0,0,1,0,0,0,1,4
1033,49,2,0.22039166,0,98388,0,1,0,4,0,0,0,1,0,3,2,4,1,4,1,2,3,4,3,3,2,3,2,3,3,2,2,1,4,3,3,-0.793217959,-0.201714614,0.933148768,1,1,0,0,2,0,1,0,0,1,2,0,3,0,0,3,0,0,3,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,0,2
1034,49,4,0.027778406,0,98026,0,1,0,1,1,0,0,0,0,1,4,2,5,3,1,1,1,4,5,4,3,3,3,3,3,1,3,3,4,2,4,0.952006515,0.620700465,0.708712163,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1035,49,4,1.226893882,0,98178,0,1,0,5,0,0,0,0,1,3,1,5,1,5,1,1,1,5,1,1,1,1,3,3,3,3,1,1,2,3,1,-2.233768806,-0.56409513,1.234418476,0,1,0,0,2,0,0,0,0,0,1,1,1,0,0,3,1,0,1,0,1,0,0,1,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,0,0,0,1,4
1037,49,4,0.062362714,0,98275,0,1,0,1,1,0,0,0,0,1,5,1,4,5,2,4,1,3,5,4,2,3,2,3,2,2,2,2,3,2,2,0.441286799,0.362106914,-0.316130727,1,0,0,1,4,1,1,1,0,0,2,0,4,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,0,3
1038,49,4,0.013876774,0,98110,0,1,0,2,0,1,0,0,0,1,5,0,4,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,-1.233911288,-0.754947919,-0.573810598,0,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1041,49,2,0.022453993,0,98310,0,1,0,1,1,0,0,0,0,1,5,3,5,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,0.099803405,-0.180163475,0.317428595,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,1,0,0,-9,0,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,1,0,2,0,0,0,1,4
1043,49,4,0.014983686,0,98446,0,1,0,1,1,0,0,0,0,1,2,1,4,4,1,3,1,4,5,2,2,2,2,2,1,2,2,2,4,1,2,0.237386739,0.076048147,0.357250148,0,0,1,0,3,0,0,1,0,0,2,0,4,0,0,0,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,1,0,0,0,1
1044,49,4,0.014256743,0,98087,1,0,0,2,0,1,0,0,0,1,5,1,3,4,1,1,1,3,4,3,2,1,2,1,1,2,1,3,4,3,3,0.68733314,-0.860512753,0.9309105,0,0,1,0,3,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1047,49,4,0.046070619,0,98580,0,1,0,1,1,0,0,0,0,1,1,1,5,5,1,1,2,4,4,1,1,3,2,2,2,1,2,2,4,4,2,-0.901311607,-0.135186141,0.594228126,0,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,0,1
1049,49,2,0.043425503,0,98026,0,1,0,3,0,0,1,0,0,2,5,1,2,5,1,1,1,4,3,2,2,2,2,2,1,2,2,3,4,2,4,-1.374709717,-0.462393038,-0.785454659,0,1,0,0,2,0,0,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,0,-9,0,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1050,49,4,0.02509942,0,98208,0,1,0,1,1,0,0,0,0,1,3,0,5,3,1,1,1,3,3,3,2,2,2,2,2,2,2,2,3,3,3,-1.121074855,-1.541345457,0.457050386,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1051,49,4,0.016060325,0,98103,1,0,0,1,1,0,0,0,0,2,3,1,3,2,1,2,1,3,4,4,2,2,1,2,2,2,2,2,3,3,3,0.397903887,0.005584789,0.216751695,0,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,1,0,0,1,0,0,0,1,4
1052,49,4,0.016439288,0,98580,0,1,0,1,1,0,0,0,0,1,4,3,3,3,2,3,1,3,4,3,1,3,2,3,2,1,2,3,4,2,4,0.207841495,-0.551038299,-0.402229252,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,0,1
1053,49,4,0.03084506,0,98408,0,1,0,1,1,0,0,0,0,1,2,2,3,4,2,2,2,3,4,2,1,1,2,2,2,2,2,2,3,2,4,0.368437845,-0.597762987,0.156112181,0,0,0,1,4,1,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,0,-9,0,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,4
1055,49,4,0.037429187,0,98445,0,1,0,2,0,1,0,0,0,2,5,2,2,5,1,1,1,5,5,1,1,2,2,2,1,1,1,3,1,2,4,0.655562374,0.005958322,-0.068527035,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1056,49,4,0.009345735,0,98311,0,1,0,1,1,0,0,0,0,2,6,3,3,5,3,2,3,5,4,4,1,2,1,2,2,1,1,2,1,2,3,0.235694754,0.316056845,-0.005668449,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,1,0,0,0,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,2
1060,49,4,0.055427821,0,98092,0,1,0,3,0,0,1,0,0,3,2,5,3,5,1,1,1,3,5,3,2,3,3,3,3,2,2,3,4,2,4,0.548873236,-2.132734772,-0.298779643,1,0,0,1,4,0,0,1,0,0,1,1,1,1,0,1,0,0,3,0,1,0,0,0,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,2
1061,49,4,0.04457819,0,98388,0,1,0,1,1,0,0,0,0,1,2,0,5,5,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,-0.922872334,-0.51723911,1.189459824,0,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,0,2
1064,3,4,0.080316803,1,85087,0,1,0,2,0,1,0,0,0,3,4,3,3,3,3,4,4,4,4,3,2,2,2,2,2,2,2,2,3,3,4,0.215566644,-0.732278075,0.269236263,1,0,1,0,3,0,0,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1065,3,4,0.038756086,1,85375,0,1,0,1,1,0,0,0,0,2,6,3,2,4,2,2,2,2,5,3,1,1,1,1,1,1,1,3,2,2,2,-0.013149079,-0.488311134,0.210804594,0,0,0,1,4,1,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1066,49,4,0.017339166,0,98005,0,1,0,2,0,1,0,0,0,2,3,3,3,5,1,1,1,3,4,3,2,2,2,2,2,2,2,2,3,2,3,-0.472430283,-0.31834604,-0.890483697,1,0,0,1,4,0,1,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1067,3,4,0.020579455,1,85008,1,0,0,1,1,0,0,0,0,1,5,1,5,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,3,4,-0.296406392,-0.405564848,0.149771279,1,0,0,1,4,1,1,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,0,0,1,0,3
1068,49,3,0.057484759,0,98029,0,1,0,3,0,0,1,0,0,3,4,4,2,4,2,4,1,5,5,5,3,3,3,3,3,1,1,1,2,2,2,0.831877061,0.663667175,0.239326482,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,1,0,0,0,0,0,-9,0,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1070,3,2,0.061035541,1,85234,0,1,0,1,1,0,0,0,0,1,5,1,5,5,1,1,1,5,5,1,3,3,3,3,3,3,2,2,3,3,3,-0.22705431,-0.598101047,1.436120364,0,0,1,0,3,1,1,1,0,0,2,0,4,0,0,3,0,0,3,0,0,0,1,1,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1072,3,2,0.017293193,1,85233,0,1,0,1,1,0,0,0,0,2,5,2,3,4,3,3,3,4,4,4,1,1,1,1,3,3,3,3,1,3,3,-0.293361699,0.261681683,0.437914056,1,0,1,0,3,1,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,1,0,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1073,49,4,0.018986714,0,98042,0,1,0,4,0,0,0,1,0,4,5,5,3,5,1,4,1,4,4,1,2,2,2,1,1,2,2,1,2,2,4,-0.235695063,-0.588946703,-1.636485748,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1074,3,4,0.062425983,1,85326,0,1,0,1,1,0,0,0,0,1,1,1,4,2,1,1,3,3,3,3,2,2,2,2,2,2,2,1,4,4,4,0.452107289,0.688880205,-0.065808448,1,1,0,0,2,0,0,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1075,3,4,0.08589955,1,85351,0,1,0,1,1,0,0,0,0,2,4,2,3,3,2,1,3,1,3,1,1,1,1,1,2,2,2,2,4,3,4,-1.509709483,-0.929614079,1.332184621,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,0,2
1080,3,4,0.046607536,1,85016,1,0,0,2,0,1,0,0,0,2,1,1,5,5,1,1,1,4,5,5,2,2,2,2,2,2,2,2,4,3,3,1.332478734,1.548513672,0.848878352,1,0,0,1,4,0,0,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1081,3,4,0.107926331,1,85377,0,1,0,1,1,0,0,0,0,1,5,0,5,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,4,3,3,-1.048977399,-0.22280635,-0.475787052,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1082,3,4,0.014513458,1,85206,0,1,0,5,0,0,0,0,1,3,4,3,2,5,2,2,1,4,4,4,2,2,2,2,2,2,2,3,4,2,2,0.485024252,-0.581317703,-1.181689441,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1083,3,4,0.036163248,1,85001,1,0,0,2,0,1,0,0,0,2,2,1,4,4,3,4,2,3,4,3,1,2,1,2,2,1,2,1,2,2,3,0.638006807,-0.190643539,0.773372438,0,0,0,1,4,0,0,1,0,0,2,0,4,0,0,3,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,3,4,0.014642507,1,85208,0,1,0,3,0,0,1,0,0,1,4,4,4,5,1,5,1,5,5,1,1,1,1,2,2,2,2,2,3,3,4,-1.422315573,-1.112839133,2.349336059,1,0,0,1,4,0,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,0,2
1087,3,4,0.027061615,1,85029,1,0,0,2,0,1,0,0,0,3,5,3,2,5,1,1,1,2,4,2,1,1,1,1,1,1,1,2,1,1,1,0.448478497,-1.163990477,0.042397735,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1089,3,4,0.061334699,1,85284,0,1,0,3,0,0,1,0,0,3,4,3,3,5,1,1,1,5,4,1,1,1,2,3,1,1,2,3,1,2,2,0.650592004,-1.03118249,0.262832271,1,0,0,1,4,1,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1092,3,4,0.014739078,1,85210,1,0,0,1,1,0,0,0,0,1,4,3,4,4,1,4,1,3,4,3,2,2,2,2,2,2,2,2,3,2,3,-0.694895298,-0.977233886,-0.545339023,0,0,1,0,3,0,0,1,0,0,1,1,1,1,0,1,0,0,3,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,0,1,4
1093,3,4,0.004603127,1,85375,0,1,0,2,0,1,0,0,0,2,4,2,2,5,1,2,1,4,5,4,1,1,1,1,1,2,1,3,3,2,1,0.702150334,0.072246536,0.844346269,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,0,3,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1099,3,2,0.013378893,1,85345,0,1,0,3,0,0,1,0,0,3,3,3,2,3,1,4,4,1,3,1,1,2,3,1,1,2,2,3,2,2,1,-0.080898174,-0.878226057,0.367999278,1,1,0,0,2,1,1,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
1101,3,4,0.008891702,1,85053,1,0,0,1,1,0,0,0,0,2,6,3,4,5,1,1,1,4,5,3,2,2,2,1,1,2,2,2,4,3,4,1.020967111,-0.091103362,0.535857346,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1102,3,2,0.138260096,1,85033,0,1,0,4,0,0,0,1,0,3,3,3,1,4,3,4,3,4,5,5,1,1,2,2,2,2,2,3,3,2,2,0.730277103,1.482043513,-0.184381184,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1103,3,4,0.031249448,1,85338,0,1,0,1,1,0,0,0,0,1,5,3,2,4,2,3,2,4,4,4,3,3,2,2,3,2,2,2,3,3,3,0.909340833,0.905475023,0.051519485,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,0,2
1104,3,2,0.102249691,1,85351,0,1,0,3,0,0,1,0,0,2,5,4,2,2,2,4,4,4,5,5,1,3,1,1,3,1,1,1,2,2,2,0.252025699,-1.105269658,0.382997405,1,0,1,0,3,0,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,1,1,0,1,1,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,0,2
1106,3,2,0.043692321,1,85209,0,1,0,3,0,0,1,0,0,3,6,4,3,4,2,3,2,4,4,4,1,1,1,1,1,1,2,3,1,2,1,-1.918270387,-0.225071438,0.915768154,1,0,1,0,3,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
