ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_flooding_impact_wlb,flooding_imp_1,flooding_imp_2,flooding_imp_3,flooding_imp_4,flooding_imp_5,ext_flooding_cope,ext_flooding_likely_repeat,ext_flooding_affect,ext_flooding_lkly_normal_business,ext_flooding_lkly_stay_home,ext_flooding_lkly_seek_shelter,ext_flooding_lkly_social_connection,ext_flooding_lkly_leave_town,ext_flooding_lkly_supplies,ext_flooding_lkly_follow_officials,ext_flooding_lkly_comm_supports,ext_flooding_wfh,ext_flooding_car_travel,ext_flooding_walk_bike_mode,ext_flooding_transit_use,ext_flooding_stay_home,ext_flooding_stay_family_friends,ext_flooding_check_family_friends,ext_flooding_volunteer_community,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
1078,3,2,0.013087255,1,85254,0,1,0,3,0,0,1,0,0,2,5,0,5,1,1,1,1,3,3,3,2,2,2,2,2,4,3,3,0.674759571,1.56339791,1.015872611,1,1,0,0,2,1,1,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,1,1,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1081,3,4,0.107926331,1,85377,0,1,0,1,1,0,0,0,0,1,5,0,1,5,1,1,1,3,3,3,2,2,2,2,2,4,3,4,-1.048977399,-0.22280635,-0.475787052,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1085,3,2,0.173351591,1,85308,0,1,0,3,0,0,1,0,0,1,4,2,5,5,2,5,4,5,5,3,2,2,1,1,3,2,2,2,0.827540109,-0.47749538,0.647929134,0,0,0,1,4,1,1,1,0,0,1,1,1,0,0,3,0,0,3,1,0,0,1,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1100,3,4,0.027061615,1,85037,0,1,0,4,0,0,0,1,0,1,2,1,5,5,1,1,1,5,4,3,2,1,2,2,3,1,2,4,-0.054802991,-1.621110682,1.242191357,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,1,1,0,0,1,3,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,0,0,1,0,3
1105,3,2,0.10849021,1,85392,0,1,0,1,1,0,0,0,0,1,4,1,4,4,2,2,1,4,5,4,2,1,2,2,3,4,2,2,0.930421255,-1.834652327,0.614473053,1,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
1111,3,2,0.212127142,1,85024,0,1,0,2,0,1,0,0,0,2,1,2,4,4,3,4,4,4,4,3,2,1,1,1,3,2,2,3,-0.528491728,-0.514608634,0.716294458,1,1,0,0,2,0,0,1,1,0,2,0,2,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1114,3,2,0.082855407,1,85383,0,1,0,2,0,1,0,0,0,2,3,1,2,4,1,1,1,4,4,4,2,1,1,2,2,3,3,4,0.362401116,-0.155636661,0.907250014,0,0,1,0,3,0,0,1,0,0,2,0,4,0,0,3,0,0,3,0,0,0,1,1,0,1,1,0,1,0,2,1,0,0,1,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,0,1
1115,3,4,0.006463556,1,85032,0,1,0,1,1,0,0,0,0,3,4,3,2,4,4,1,1,5,5,5,2,2,2,2,3,4,3,2,-2.000006258,1.341298384,0.851618455,1,0,1,0,3,1,1,1,0,0,2,0,4,1,0,1,0,0,3,0,1,0,0,1,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1120,49,2,0.089992219,0,98271,0,1,0,3,0,0,1,0,0,1,4,2,3,3,2,4,3,4,3,4,2,2,1,1,2,3,2,2,0.780275599,0.260671087,0.978574764,0,0,1,0,3,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,0,1
1123,49,4,0.015949033,0,98092,0,1,0,2,0,1,0,0,0,2,2,2,3,5,2,2,2,5,5,3,2,1,1,2,3,3,2,4,0.642681964,-0.234841093,-0.449046042,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,2
1137,49,4,0.039447706,0,98409,0,1,0,1,1,0,0,0,0,1,4,3,4,4,1,1,1,1,3,1,2,2,2,2,2,3,3,4,-0.401575231,-1.827539071,-0.454060619,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1147,3,4,0.005748524,1,85361,0,0,1,4,0,0,0,1,0,3,4,4,1,4,4,1,4,3,4,4,2,2,3,3,2,4,3,3,-0.819432351,0.014952944,-0.682282952,0,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,1,0,0,0,1
1149,3,4,0.032283999,1,85037,0,1,0,2,0,1,0,0,0,2,1,0,3,5,3,3,4,1,5,1,2,2,2,2,2,4,3,4,-0.024663404,-0.881024188,-0.03060872,1,0,1,1,4,0,0,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,0,0,1,0,3
1156,3,2,0.024253805,1,85043,0,1,0,2,0,1,0,0,0,2,4,2,4,4,3,2,4,5,5,5,2,2,2,2,2,4,2,2,0.621828329,-0.756509767,0.235107661,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,1,0,0,1,0,-9,0,1,0,0,1,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1172,3,4,0.002638505,1,85301,1,0,0,2,0,1,0,0,0,2,4,3,1,4,2,2,2,4,5,2,2,1,1,3,3,4,2,4,-0.368447871,-0.633326939,-0.433395947,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,1,4
1177,3,2,0.004997901,1,85281,1,0,0,1,1,0,0,0,0,1,2,1,5,4,2,2,1,4,5,4,2,1,1,2,3,2,2,2,0.574275951,0.409653635,0.424794916,1,0,1,0,3,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,0,1,4
1192,3,1,0.124747311,1,85027,0,1,0,3,0,0,1,0,0,2,4,3,3,4,2,3,4,3,4,4,3,1,1,1,3,1,2,4,-0.213834911,-0.068076488,-0.946629346,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,2,0,1,2,0,0,0,1,0,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1194,3,4,0.030945766,1,85203,0,1,0,2,0,1,0,0,0,2,5,4,3,4,2,3,1,3,3,3,2,2,2,2,2,3,3,4,-0.85739805,-0.221190296,0.011376698,1,0,1,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,0,0,1,3,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,0,0,0,1,4
1195,3,2,0.010328896,1,85003,0,1,0,2,0,1,0,0,0,2,4,3,4,5,5,5,5,5,5,5,3,1,1,1,3,2,2,2,0.860643629,0.812961033,0.397879527,0,1,0,0,2,1,1,0,1,0,2,0,2,1,0,1,0,0,3,0,0,0,1,0,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,0,1,4
1200,3,2,0.019886256,1,85259,0,1,0,3,0,0,1,0,0,3,4,2,4,5,3,3,2,5,5,4,2,1,1,1,2,3,2,3,0.766380078,1.585199346,0.185264154,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,0,0,-9,0,0,1,0,2,1,0,0,1,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,0,2
1202,3,4,0.016274244,1,85257,1,0,0,2,0,1,0,0,0,2,5,4,4,2,2,2,2,4,4,2,2,2,2,2,2,4,3,4,-1.115291388,-0.651101911,0.233027003,0,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,1,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,1,0,0,1,0,0,0,1,4
1209,3,4,0.005003322,1,85032,0,1,0,3,0,0,1,0,0,2,1,0,3,4,2,2,1,4,4,3,2,2,2,2,3,3,3,2,0.864638362,-1.804601097,-0.557729765,1,0,1,0,3,0,1,1,0,0,2,0,4,1,0,1,0,0,3,0,0,0,0,1,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1212,3,4,0.016796097,1,85378,0,1,0,1,1,0,0,0,0,2,2,1,4,5,3,3,2,4,4,4,2,1,2,2,2,4,3,4,0.608559612,-1.422877783,-0.371553861,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,0,1
1229,3,4,0.066638631,1,85202,1,0,0,2,0,1,0,0,0,2,4,3,3,4,2,2,4,4,4,4,2,1,3,3,3,1,2,2,0.554612648,-0.283969008,0.452482963,1,0,0,1,4,0,0,1,0,0,1,1,1,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1240,3,2,0.083325073,1,85015,1,0,0,1,1,0,0,0,0,2,1,2,2,3,3,3,3,4,4,3,2,2,2,2,2,3,3,3,-0.953777745,0.046605021,-0.679643543,0,0,1,0,3,0,0,0,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,0,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,0,0,1,3,0,0,0,1,4
1241,3,2,0.063694988,1,85382,0,1,0,1,1,0,0,0,0,1,1,0,5,4,1,1,1,3,4,2,3,1,1,1,3,1,4,3,-1.110712087,-0.67688026,0.495351793,0,1,0,0,2,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,0,2
1263,3,2,0.03597339,1,85297,0,1,0,5,0,0,0,0,1,3,6,5,1,5,3,4,5,5,5,5,2,1,2,2,2,3,4,4,-1.326113105,0.614920894,-1.21982856,1,0,1,0,3,1,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,0,1,0,-9,0,0,0,1,3,1,0,0,1,0,0,1,3,1,0,0,1,1,0,0,1,0,1,0,0,2
1269,3,2,0.051007823,1,85297,0,1,0,3,0,0,1,0,0,3,2,1,3,2,1,2,3,4,5,3,2,2,2,2,2,4,3,3,0.170376365,-0.793259078,0.334028232,1,1,0,0,2,1,1,1,0,0,2,0,4,0,0,3,0,0,3,0,0,1,1,1,0,-9,0,0,0,1,3,1,0,0,1,0,0,1,3,1,0,0,1,1,0,0,1,0,1,0,0,2
1271,3,4,0.048385048,1,85213,0,1,0,3,0,0,1,0,0,3,2,1,3,4,1,1,1,5,4,3,2,1,2,2,2,3,3,3,0.12273321,0.129094887,1.157900043,1,0,1,0,3,0,0,0,0,0,1,1,1,1,0,1,0,1,2,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,0,1,0,3
1283,49,4,0.031988921,0,98004,0,1,0,2,0,1,0,0,0,3,2,2,3,4,3,4,4,4,4,4,2,1,1,3,3,3,2,2,-0.10444541,0.558946022,0.174930726,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1295,49,4,0.026310393,0,98121,1,0,0,3,0,0,1,0,0,2,2,3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,3,2,-0.813848343,0.561149877,0.067918105,0,0,1,0,3,1,1,0,0,0,2,0,5,0,0,0,1,0,1,0,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1300,49,2,0.012313233,0,98201,1,0,0,2,0,1,0,0,0,1,2,0,5,1,1,1,1,5,5,4,2,2,2,2,2,3,3,3,-1.449621672,0.537920759,1.369827854,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,0,3,1,0,0,1,0,0,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,0,0,0,1,4
1311,49,4,0.050245186,0,98122,1,0,0,3,0,0,1,0,0,2,2,1,2,4,1,1,1,1,2,1,3,1,3,3,3,3,3,3,-2.770359894,-0.71534593,1.335035569,1,0,1,0,3,1,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,0,0,1,3,0,0,0,1,4
1317,5,2,0.458982207,0,90001,1,0,0,4,0,0,0,1,0,2,2,4,4,3,2,4,3,4,3,4,2,2,3,2,2,4,3,2,0.116669982,0.903937337,-0.849641163,0,1,0,0,2,1,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,0,0,1,3,0,0,0,1,4
1318,49,2,0.202414287,0,98075,0,1,0,1,1,0,0,0,0,2,2,2,3,4,2,1,2,5,5,5,3,1,1,1,3,2,2,2,-0.612367383,0.996748142,0.391240681,1,0,0,1,4,0,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,0,1,0,0,2
1322,3,2,0.010328896,1,85003,0,1,0,3,0,0,1,0,0,3,4,3,4,5,4,4,5,5,5,5,3,1,1,1,3,2,2,2,0.448402857,0.716702231,0.417593162,0,1,0,0,2,1,1,0,1,0,2,0,2,1,0,1,0,0,3,0,0,0,1,0,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,0,1,4
1328,49,4,0.014204214,0,98408,0,1,0,3,0,0,1,0,0,4,1,5,1,3,1,5,5,5,5,4,2,1,1,1,1,2,2,2,-0.466198604,-0.652026802,0.390843148,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,-9,0,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,4
1335,49,2,0.010899185,0,98052,0,1,0,4,0,0,0,1,0,3,5,5,3,5,3,5,4,5,5,5,2,1,1,1,2,3,3,2,0.503667258,1.058588477,0.828093245,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,0,3,1,0,0,0,0,0,-9,0,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,0,0,1,0,3
1340,3,4,0.010570796,1,85381,0,1,0,3,0,0,1,0,0,3,4,4,3,4,2,4,4,4,4,4,3,1,1,1,3,3,3,3,-2.160176453,0.322680857,1.284953076,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,0,3,1,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,0,0,1,0,3
1347,3,4,0.018335924,1,85206,0,1,0,3,0,0,1,0,0,2,2,2,4,5,3,4,4,5,5,5,2,2,3,3,3,3,2,2,0.786327239,0.562641755,0.769978558,1,0,0,1,4,1,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1349,3,2,0.015077218,1,85373,0,1,0,3,0,0,1,0,0,1,1,0,5,5,3,4,5,4,4,5,2,2,3,2,3,2,2,3,0.774352965,-0.768951062,0.958115458,1,0,1,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1352,3,4,0.025770404,1,85383,0,1,0,2,0,1,0,0,0,2,1,0,2,5,4,3,3,5,5,5,2,1,1,1,3,4,2,2,-0.119557734,0.143419547,0.498033858,1,0,0,1,4,0,1,0,1,0,2,0,2,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,0,1
1353,3,2,0.019301568,1,85295,0,1,0,2,0,1,0,0,0,2,2,1,2,4,2,3,2,4,4,4,3,1,1,1,3,1,2,2,0.51271275,0.049341007,0.270909423,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1357,3,4,0.04078669,1,85303,0,1,0,3,0,0,1,0,0,2,3,3,4,4,2,2,2,5,5,3,2,1,1,1,3,2,2,2,0.444366664,-0.326417148,0.13640567,0,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,0,0,0,1,0,1,1,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1375,3,2,0.12769163,1,85041,0,1,0,3,0,0,1,0,0,2,1,0,1,5,1,4,1,5,5,5,2,1,1,2,3,4,4,4,-0.099854742,-0.537555923,0.46838484,1,1,0,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0,3,1,0,0,1,1,0,1,1,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1394,3,4,0.004226652,1,85208,0,1,0,2,0,1,0,0,0,4,3,5,2,2,2,1,2,2,2,2,3,2,2,2,2,3,2,2,-1.102542868,0.793922624,-1.028092281,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,3,1,0,0,0,0,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,0,2
1397,3,2,0.022992939,1,85214,1,0,0,4,0,0,0,1,0,2,1,0,5,5,3,3,1,4,5,3,2,1,1,2,3,4,3,4,0.300185564,-1.261345819,0.843484661,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,3,2,0.009412368,1,85234,0,1,0,2,0,1,0,0,0,2,3,1,2,4,4,4,3,4,4,4,3,1,1,2,3,2,2,2,0.591051764,-0.635005034,-0.356351362,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,0,3,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1405,3,4,0.002914168,1,85253,0,1,0,3,0,0,1,0,0,2,4,3,2,3,3,3,3,3,4,4,2,1,2,2,2,3,3,3,0.632699468,0.079001729,-0.66263066,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,1,-9,0,1,0,0,1,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,0,2
1406,3,1,0.425358733,1,85204,0,1,0,1,1,0,0,0,0,1,1,0,3,5,5,3,3,3,3,3,2,2,1,1,3,4,3,4,-1.119201325,-0.936645581,-0.979285781,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,3,1,0,0,1,0,1,-9,0,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,0,1,0,2,0,0,0,1,4
1410,3,4,0.034343008,1,85338,0,1,0,2,0,1,0,0,0,1,4,2,4,5,2,4,4,4,5,5,2,1,2,2,3,3,2,2,0.315006112,0.24129436,0.015251926,1,0,0,1,4,0,0,1,0,0,2,0,4,0,0,3,0,0,3,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,0,2
1421,3,2,0.019886256,1,85022,0,1,0,2,0,1,0,0,0,1,3,1,4,5,1,3,1,4,3,3,2,2,2,2,2,1,2,4,-0.138269146,-1.476539594,0.035450834,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,0,0,-9,0,0,0,1,3,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,0,0,1,0,3
1425,3,2,0.032747908,1,85021,1,0,0,1,1,0,0,0,0,1,3,1,4,5,3,4,3,5,5,4,1,1,2,1,3,3,2,3,-0.845057324,0.304221311,0.33900276,1,0,1,1,4,0,0,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,1,0,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,0,0,1,3,0,0,0,1,4
