ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_cold_impact_wlb,cold_imp_1,cold_imp_2,cold_imp_3,cold_imp_4,cold_imp_5,ext_cold_cope,ext_cold_likely_repeat,ext_cold_affect,ext_cold_lkly_normal_business,ext_cold_lkly_stay_home,ext_cold_lkly_seek_shelter,ext_cold_lkly_social_connection,ext_cold_lkly_leave_town,ext_cold_lkly_supplies,ext_cold_lkly_follow_officials,ext_cold_lkly_comm_supports,ext_cold_indoor_restaurant,ext_cold_takeout_pickup,ext_cold_food_delivery,ext_cold_public_indoors,ext_cold_wfh,ext_cold_commute,ext_cold_car_travel,ext_cold_transit_use,ext_cold_stay_home,ext_cold_stay_family_friends,ext_cold_check_family_friends,ext_cold_volunteer_community,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
1042,49,4,0.005401777,0,98252,0,1,0,2,0,1,0,0,0,2,6,3,3,4,2,2,2,5,5,5,2,1,2,4,2,2,1,2,3,4,2,2,0.921827241,0.123147267,-0.6882367,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1043,49,4,0.014983686,0,98446,0,1,0,2,0,1,0,0,0,2,2,2,5,3,1,1,1,4,4,3,2,2,2,4,2,2,2,2,2,4,3,3,0.237386739,0.076048147,0.357250148,0,0,1,0,3,0,0,1,0,0,2,0,4,0,0,0,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,1,0,0,0,1
1044,49,4,0.014256743,0,98087,1,0,0,2,0,1,0,0,0,3,5,2,3,5,1,1,1,3,4,4,1,2,2,3,2,2,2,2,2,4,3,3,0.68733314,-0.860512753,0.9309105,0,0,1,0,3,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1045,49,4,0.055252484,0,98043,0,1,0,4,0,0,0,1,0,3,3,2,4,3,1,2,2,4,4,3,2,1,2,1,3,2,3,1,3,3,3,4,0.051562046,-0.670052288,-0.630539948,1,1,0,0,2,0,0,0,0,0,2,0,5,0,0,0,0,1,2,0,0,0,0,0,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1048,49,2,0.049776315,0,98310,0,1,0,1,1,0,0,0,0,1,4,4,4,4,2,2,3,5,4,4,1,3,3,3,2,2,2,2,2,3,3,3,-0.169854832,0.050733827,-1.156756763,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,1,0,1,0,1,0,1,0,0,-9,0,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,1,0,2,0,0,0,1,4
1051,49,4,0.016060325,0,98103,1,0,0,1,1,0,0,0,0,2,4,1,3,4,1,3,1,3,4,2,2,2,2,3,2,1,2,1,3,3,3,3,0.397903887,0.005584789,0.216751695,0,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,1,0,0,1,0,0,0,1,4
1052,49,4,0.016439288,0,98580,0,1,0,3,0,0,1,0,0,3,5,3,3,4,1,1,1,4,4,3,2,2,2,2,2,2,1,2,3,4,2,4,0.207841495,-0.551038299,-0.402229252,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,0,1
1054,49,4,0.013653833,0,98023,0,1,0,2,0,1,0,0,0,3,4,3,4,2,3,2,1,4,4,4,2,3,3,2,3,1,2,2,2,1,2,1,0.351984335,-0.706229476,-0.703348563,1,1,0,0,2,0,0,0,1,0,2,0,2,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1055,49,4,0.037429187,0,98445,0,1,0,4,0,0,0,1,0,3,5,3,2,5,1,1,1,5,5,3,1,1,3,4,2,2,1,1,3,1,2,4,0.655562374,0.005958322,-0.068527035,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1057,49,4,0.039469085,0,98466,0,1,0,3,0,0,1,0,0,2,5,3,2,5,2,2,2,5,5,3,2,2,3,4,2,2,1,2,3,3,2,4,1.519318963,-0.742995789,-2.127537884,0,0,1,0,3,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,4
1059,49,4,0.079167911,0,98008,1,0,0,2,0,1,0,0,0,2,5,3,2,4,1,1,1,3,4,1,2,2,2,4,2,2,2,2,2,4,2,4,-0.56883416,-0.122061678,0.346902458,0,0,0,1,4,1,1,1,0,0,2,0,4,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,1,4
1062,3,4,0.010219066,1,85304,1,0,0,1,1,0,0,0,0,1,1,0,5,5,2,4,1,5,5,5,2,2,2,4,2,2,2,2,2,3,3,3,0.435276982,-0.729937797,-0.222071517,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,1,0,1,1,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,4
1064,3,4,0.080316803,1,85087,0,1,0,1,1,0,0,0,0,1,1,0,5,3,3,4,4,4,4,4,2,2,2,3,3,1,2,2,3,3,3,3,0.215566644,-0.732278075,0.269236263,1,0,1,0,3,0,0,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1070,3,2,0.061035541,1,85234,0,1,0,4,0,0,0,1,0,2,1,0,5,1,1,1,1,5,5,3,2,2,2,2,2,3,2,2,1,4,2,4,-0.22705431,-0.598101047,1.436120364,0,0,1,0,3,1,1,1,0,0,2,0,4,0,0,3,0,0,3,0,0,0,1,1,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1071,49,2,0.008297534,0,98404,0,1,0,3,0,0,1,0,0,2,3,3,3,3,3,4,4,4,4,4,3,3,3,2,3,1,3,1,1,2,2,2,0.589115756,0.716364764,0.02324533,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,0,3,1,0,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,0,0,1,4
1076,3,4,0.00105438,1,85021,1,0,0,3,0,0,1,0,0,3,1,3,2,5,3,5,4,4,5,5,2,3,3,3,3,1,1,3,3,2,2,3,0.964289106,0.082751826,0.738250695,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,0,0,1,3,0,0,0,1,4
1080,3,4,0.046607536,1,85016,1,0,0,2,0,1,0,0,0,1,1,0,4,4,1,2,4,2,4,4,2,2,2,3,2,2,2,2,2,4,3,3,1.332478734,1.548513672,0.848878352,1,0,0,1,4,0,0,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1086,3,2,0.084021678,1,85374,0,1,0,3,0,0,1,0,0,2,1,0,5,4,1,1,1,4,5,1,2,2,2,3,2,2,2,2,2,3,3,3,-0.663273403,-0.202086102,1.291054223,1,0,1,0,3,0,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,0,1
1088,3,4,0.104603156,1,85021,1,0,0,5,0,0,0,0,1,3,1,0,2,5,1,4,5,5,4,2,2,2,3,3,3,1,2,2,3,1,2,3,-0.145546862,-0.945444967,1.534089627,1,0,1,0,3,0,1,1,0,0,2,0,4,0,0,3,1,0,1,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,0,0,1,3,0,0,0,1,4
1096,3,4,0.283835784,1,85213,0,1,0,2,0,1,0,0,0,2,1,5,4,5,1,1,2,4,5,3,2,2,2,4,2,2,2,2,3,3,2,3,0.355799415,0.677157152,0.972363241,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,0,1,0,3
1097,3,2,0.036987345,1,85338,0,1,0,3,0,0,1,0,0,2,1,3,4,4,2,2,4,4,4,2,1,2,1,1,3,2,3,2,3,3,2,2,0.686157288,-1.240982979,-0.096920113,1,0,1,0,3,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,0,2
1098,3,2,0.004491707,1,85225,1,0,0,4,0,0,0,1,0,4,2,5,1,5,1,5,1,5,5,5,1,1,3,4,3,2,2,1,2,1,4,4,1.548928509,-1.276821001,-0.763128117,1,1,0,0,2,1,1,1,0,0,2,0,4,1,0,1,0,0,3,0,1,0,0,1,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1102,3,2,0.138260096,1,85033,0,1,0,3,0,0,1,0,0,3,1,0,3,5,3,3,3,5,5,5,2,2,2,3,2,2,2,2,2,3,3,3,0.730277103,1.482043513,-0.184381184,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1103,3,4,0.031249448,1,85338,0,1,0,2,0,1,0,0,0,3,1,4,2,5,2,2,2,5,4,4,1,2,2,3,2,2,1,2,2,2,3,2,0.909340833,0.905475023,0.051519485,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,0,2
1106,3,2,0.043692321,1,85209,0,1,0,4,0,0,0,1,0,3,1,2,3,4,3,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,-1.918270387,-0.225071438,0.915768154,1,0,1,0,3,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
1112,49,2,0.031040473,0,98155,0,1,0,4,0,0,0,1,0,4,5,4,2,5,3,5,1,5,5,4,3,3,2,3,1,2,3,1,2,3,3,1,1.009543315,0.085331246,-0.599251819,1,1,0,0,2,0,0,1,1,0,2,0,2,1,0,1,0,0,3,1,1,0,1,0,1,0,0,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,0,0,1,0,3
1113,49,4,0.04737658,0,98070,0,1,0,2,0,1,0,0,0,3,1,2,1,5,2,2,5,5,5,5,1,1,3,2,3,1,1,3,1,1,1,1,1.336558898,0.541629484,0.146369162,1,0,0,1,4,0,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,2,1,0,0,0,1
1118,49,4,0.011162241,0,98111,1,0,0,2,0,1,0,0,0,3,5,4,2,5,2,3,2,5,4,4,2,1,3,1,2,2,2,1,3,4,2,4,-0.836574733,0.140302003,-0.262474424,1,0,0,1,4,0,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,49,2,0.060728326,0,98409,0,1,0,3,0,0,1,0,0,1,5,3,4,4,1,1,1,4,4,3,2,2,2,4,2,2,2,2,2,4,4,4,-1.565987968,-0.433600335,0.264060701,1,1,0,0,2,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,1,0,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1121,49,4,0.037215196,0,98312,0,1,0,2,0,1,0,0,0,2,6,3,4,5,3,3,1,4,3,3,2,2,2,4,2,2,2,2,3,2,2,2,-1.106735019,-0.32273201,0.313581121,0,0,0,1,4,0,0,1,0,0,2,0,4,0,0,0,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
1123,49,4,0.015949033,0,98092,0,1,0,4,0,0,0,1,0,3,3,3,2,5,2,2,2,5,5,3,1,1,2,1,2,2,1,2,2,2,3,4,0.642681964,-0.234841093,-0.449046042,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,2
1126,49,4,0.013194596,0,98580,0,1,0,5,0,0,0,0,1,4,5,5,1,5,2,1,1,5,5,3,1,1,3,1,2,2,2,2,3,3,2,2,-2.531463852,-1.6260071,1.935249982,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,0,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,0,1
1128,49,4,0.018705963,0,98409,0,1,0,2,0,1,0,0,0,2,3,3,3,5,1,1,1,5,5,1,2,2,2,4,2,2,2,2,2,4,3,4,0.972366198,-0.448016073,0.881683076,1,1,0,0,2,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1129,49,4,0.013882818,0,98101,1,0,0,2,0,1,0,0,0,1,4,2,4,4,1,1,1,4,4,4,3,3,3,2,2,2,2,1,3,1,2,1,-0.009208824,-0.130719212,-0.3085549,1,0,0,1,4,1,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,0,1,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1131,49,2,0.026250428,0,98038,0,1,0,2,0,1,0,0,0,2,2,3,3,3,3,4,4,3,4,4,2,3,2,2,2,2,2,2,2,3,3,3,0.104781094,0.526718069,0.077450635,1,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,2
1133,49,2,0.032977939,0,98134,0,1,0,4,0,0,0,1,0,2,5,4,2,5,3,1,1,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,-0.718175795,-0.210031965,0.413332657,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,1,0,0,-9,0,1,0,0,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,0,1,4
1134,49,4,0.067669362,0,98002,1,0,0,3,0,0,1,0,0,3,5,3,4,5,4,5,2,5,4,5,2,2,2,3,2,2,2,2,3,4,3,4,0.60156723,0.688572487,0.84171882,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,0,1,0,2,0,0,0,1,4
1135,49,1,0.054086572,0,98034,1,0,0,3,0,0,1,0,0,1,3,3,3,5,5,5,3,5,5,5,2,2,2,3,2,2,2,1,3,2,2,4,1.394462538,0.432169577,0.556346617,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,1,0,0,1,0,0,1,0,3
1136,49,4,0.022927102,0,98043,0,1,0,2,0,1,0,0,0,2,5,5,1,5,1,1,1,5,5,4,1,2,1,4,2,2,2,1,3,4,3,1,-0.285206008,-0.898780573,0.963877789,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,1,1,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1137,49,4,0.039447706,0,98409,0,1,0,2,0,1,0,0,0,3,5,3,2,5,1,1,1,4,4,3,1,1,1,4,2,2,2,2,2,4,3,4,-0.401575231,-1.827539071,-0.454060619,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1138,49,4,0.073567491,0,98121,1,0,0,1,1,0,0,0,0,1,2,0,5,3,2,2,1,2,3,3,2,2,2,2,2,2,2,2,2,4,3,4,-1.898599456,-1.292899988,0.32641,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1139,49,4,0.016060325,0,98029,0,1,0,1,1,0,0,0,0,2,4,2,4,3,2,2,2,3,4,3,2,2,2,3,2,2,1,2,2,4,2,3,0.567707345,-0.001196085,-0.500347951,0,0,0,1,4,1,1,1,0,0,2,0,4,0,0,0,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1140,49,4,0.010419822,0,98290,0,1,0,5,0,0,0,0,1,5,3,5,3,5,2,1,1,2,1,1,2,2,2,3,2,2,1,1,3,2,2,3,-0.399667639,0.047259765,-0.866378506,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,0,3,1,1,0,0,0,0,-9,0,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,0,1
